"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,127,"LBR","Liberia",1,"Bomi","County","County",NA,NA
2,127,"LBR","Liberia",2,"Bong","County","County",NA,NA
3,127,"LBR","Liberia",3,"Gbapolu","County","County",NA,"Gbarpolu"
4,127,"LBR","Liberia",4,"Grand Cape Mount","County","County",NA,NA
5,127,"LBR","Liberia",5,"GrandBassa","County","County",NA,"Grand Bassa"
6,127,"LBR","Liberia",6,"GrandGedeh","County","County",NA,"Grand Gedeh"
7,127,"LBR","Liberia",7,"GrandKru","County","County",NA,"Grand Kru"
8,127,"LBR","Liberia",8,"Lofa","County","County",NA,NA
9,127,"LBR","Liberia",9,"Margibi","County","County",NA,NA
10,127,"LBR","Liberia",10,"Maryland","County","County",NA,NA
11,127,"LBR","Liberia",11,"Montserrado","County","County",NA,NA
12,127,"LBR","Liberia",12,"Nimba","County","County",NA,NA
13,127,"LBR","Liberia",13,"River Cess","County","County",NA,"Rivercess"
14,127,"LBR","Liberia",14,"River Gee","County","County",NA,NA
15,127,"LBR","Liberia",15,"Sinoe","County","County",NA,NA
