"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,127,"LBR","Liberia",1,"Bomi",1,"Klay","District","District",NA,NA
2,127,"LBR","Liberia",1,"Bomi",2,"Mecca","District","District",NA,NA
3,127,"LBR","Liberia",2,"Bong",3,"Fuamah","District","District",NA,NA
4,127,"LBR","Liberia",2,"Bong",4,"Jorquelleh","District","District",NA,NA
5,127,"LBR","Liberia",2,"Bong",5,"Kokoyah","District","District",NA,NA
6,127,"LBR","Liberia",2,"Bong",6,"Panta-Kpa","District","District",NA,NA
7,127,"LBR","Liberia",2,"Bong",7,"Salala","District","District",NA,NA
8,127,"LBR","Liberia",2,"Bong",8,"Sanayea","District","District",NA,NA
9,127,"LBR","Liberia",2,"Bong",9,"Suakoko","District","District",NA,NA
10,127,"LBR","Liberia",2,"Bong",10,"Zota","District","District",NA,NA
11,127,"LBR","Liberia",3,"Gbapolu",11,"Belleh","District","District",NA,NA
12,127,"LBR","Liberia",3,"Gbapolu",12,"Bokomu","District","District",NA,NA
13,127,"LBR","Liberia",3,"Gbapolu",13,"Bopolu","District","District",NA,NA
14,127,"LBR","Liberia",3,"Gbapolu",14,"Gbarma","District","District",NA,NA
15,127,"LBR","Liberia",3,"Gbapolu",15,"Kongba","District","District",NA,NA
16,127,"LBR","Liberia",4,"Grand Cape Mount",16,"Commnwealth","District","District",NA,NA
17,127,"LBR","Liberia",4,"Grand Cape Mount",17,"Garwula","District","District",NA,NA
18,127,"LBR","Liberia",4,"Grand Cape Mount",18,"Golakonneh","District","District",NA,NA
19,127,"LBR","Liberia",4,"Grand Cape Mount",19,"Porkpa","District","District",NA,NA
20,127,"LBR","Liberia",4,"Grand Cape Mount",20,"Tewor","District","District",NA,NA
21,127,"LBR","Liberia",5,"GrandBassa",21,"District # 1","District","District",NA,NA
22,127,"LBR","Liberia",5,"GrandBassa",22,"District # 2","District","District",NA,NA
23,127,"LBR","Liberia",5,"GrandBassa",23,"District # 3","District","District",NA,NA
24,127,"LBR","Liberia",5,"GrandBassa",24,"District # 4","District","District",NA,NA
25,127,"LBR","Liberia",5,"GrandBassa",25,"Owensgrove","District","District",NA,NA
26,127,"LBR","Liberia",5,"GrandBassa",26,"Stjohnriver","District","District",NA,NA
